nombre,email,rol,provincia,token
Secretaría Técnica (GADPO),,ST,Orellana,
Secretaría Técnica (GADPO) - 2,,ST,Orellana,
Coordinación General de Gestión Ambiental,,Submesa S1,Orellana,
Coordinación General de Gestión Ambiental - Apoyo,,Submesa S1,Orellana,
Coordinación de Nacionalidades (GADPO),,Submesa S2,Orellana,
Coordinación de Nacionalidades (GADPO) - Apoyo,,Submesa S2,Orellana,
Coordinación General de Fomento Productivo (GADPO),,Submesa S3,Orellana,
Coordinación General de Fomento Productivo (GADPO) - Apoyo,,Submesa S3,Orellana,
CSE Orellana,,CSE,Orellana,
Presidencia (Prefectura) Orellana,,Presidencia,Orellana,
Grupo Gestor Orellana,,Miembro,Orellana,
Secretaría Técnica (GADPS) — Andrea Girón,,ST,Sucumbíos,
Secretaría Técnica (GADPS) — Angie Vélez,,ST,Sucumbíos,
Secretaría Técnica (GADPS) — Ismael Silva,,ST,Sucumbíos,
Dirección Gestión Ambiental GADPS — Holger Salas,,Submesa S1,Sucumbíos,
CorpoSucumbíos — Franklin Pozo,,Submesa S2,Sucumbíos,
Dirección Nacionalidades y Turismo GADPS — Juan Cerda,,Submesa S3,Sucumbíos,
Dirección Nacionalidades y Turismo GADPS — Gabriel Calderón,,Submesa S3,Sucumbíos,
Sucumbíos Solidario — Ricardo Maza,,Submesa S4,Sucumbíos,
Dirección de Planificación GADPS — Edwin Herrera,,Submesa S5,Sucumbíos,
CSE Sucumbíos,,CSE,Sucumbíos,
Presidencia de la Mesa Sucumbíos,,Presidencia,Sucumbíos,
